y,x,elevation,forest,water
368264.4165,479616.7896,345,38,5
368264.4165,480116.974,489,42,5
368264.4165,480617.1584,720,43,5
368264.4165,481117.3428,789,41,5
368264.4165,481617.5272,787,40,5
368264.4165,482117.7117,586,32,5
368264.4165,482617.8961,459,36,5
368264.4165,483118.0805,409,34,5
368264.4165,483618.2649,409,34,5
368264.4165,484118.4493,469,38,5
368264.4165,495122.5065,749,52,5
368264.4165,495622.6909,886,43,5
368264.4165,496122.8753,823,49,5
368264.4165,496623.0597,801,43,5
368264.4165,497123.2442,801,43,5
368264.4165,497623.4286,743,47,5
368264.4165,498123.613,694,44,5
368264.4165,498623.7974,694,34,5
368264.4165,499123.9818,670,22,5
368264.4165,499624.1662,552,33,5
368264.4165,500124.3507,602,32,5
368264.4165,500624.5351,852,44,5
368264.4165,501124.7195,872,39,5
368264.4165,501624.9039,923,39,5
368264.4165,502125.0883,923,40,5
368264.4165,502625.2727,1029,31,5
368264.4165,503125.4572,1063,33,5
368264.4165,503625.6416,884,38,5
368264.4165,504125.826,749,39,5
367764.325,479616.7896,596,44,5
367764.325,480116.974,617,40,5
367764.325,480617.1584,711,34,5
367764.325,481117.3428,694,41,5
367764.325,481617.5272,692,35,5
367764.325,482117.7117,478,38,5
367764.325,482617.8961,361,36,5
367764.325,483118.0805,431,39,5
367764.325,483618.2649,431,39,5
367764.325,484118.4493,537,42,5
367764.325,489620.4779,162,23,5
367764.325,490120.6623,203,21,5
367764.325,490620.8467,282,24,5
367764.325,491121.0312,325,21,5
367764.325,494622.3221,599,42,5
367764.325,495122.5065,669,51,5
367764.325,495622.6909,777,50,5
367764.325,496122.8753,752,41,5
367764.325,496623.0597,617,37,5
367764.325,497123.2442,617,37,5
367764.325,497623.4286,507,30,5
367764.325,498123.613,496,43,5
367764.325,498623.7974,610,41,5
367764.325,499123.9818,529,36,5
367764.325,499624.1662,581,39,5
367764.325,500124.3507,590,33,5
367764.325,500624.5351,776,43,5
367764.325,501124.7195,1005,29,5
367764.325,501624.9039,906,29,5
367764.325,502125.0883,906,34,5
367764.325,502625.2727,970,38,5
367764.325,503125.4572,1015,31,5
